IdCentroCostos,IdDepartamento,IdPuesto,IdRegistroPatronal,IdEntidad,ClaveEmpleado,Nombre,ApellidoPaterno,ApellidoMaterno,Sexo,EstadoCivil,FechaNacimiento,SD,SDBase,SDI,IdBanco,CuentaBancaria,ClaveInterbancaria,CURP,RFC,NSS,Correo,FechaRecAntiguedad,FechaAltaSS,Esquema,TipoContrato,Telefono,CalleFiscal,NoExtFiscal,NoIntFiscal,CPFiscal,CallePersonal,NoExtPersonal,NoIntPersonal,CPPersonal,IdArea,IdSindicato,IdSucursal,IdJornada,Nacionalidad,FechaTerminoContrato,IdBancoViatico,CuentaBancariaViatico,CuentaInterbancariaViatico
1877,2140,5533,,8,EXT10,JORGE LUIS,ORTIZ,RODRIGUEZ,MASCULINO,SOLTERO,30/02/2001,333.33,,,,,,ORRL300201MDFKOIS8,ORRL300201GF5,,,01/10/2019,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1844,2139,5534,,8,EXT11,JONATHAN ,NUÑEZ,SAUCEDO,MASCULINO,SOLTERO,04/09/1995,248.93,,,,,,NUSJ040995HDFESHG6,NUSJ040995JU6,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1925,2151,5534,,8,EXT12,JESUS JOSE,ADAME ,URBINA,MASCULINO,SOLTERO,08/11/1978,333.33,,,,,,ADUJ081178HDFHSBT6,ADUJ081178JU8,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1850,2144,5533,,8,EXT13,IVONNE,GOMEZ ,PAEZ,FEMENINO,SOLTERO,15/11/1986,248.93,,,,,,GOPI151186MDFUYES6,GOPI151186LO9,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1819,2139,5533,,8,EXT14,GABRIELA,RAMIREZ,  ,FEMENINO,SOLTERO,06/10/1985,248.93,,,,,,RAXG061085MDFYJSA6,RAXG061085JU8,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1813,2144,5533,,8,EXT15,ESTEBAN,ULLOA,    ,MASCULINO,SOLTERO,05/12/1996,248.93,,,,,,ULXE051296HDFLOIS3,ULXE051296HY6,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1880,2152,5534,,8,EXT16,DULCE JHANET,MORALES,TORRES,FEMENINO,SOLTERO,15/06/1998,248.93,,,,,,MOTD150698HDFYTSR6,MOTD150698DE6,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1861,2148,5534,,8,EXT17,CESAR EDGARDO,SALAZAR ,  ,MASCULINO,SOLTERO,26/07/1994,248.93,,,,,,SAXC260794HDFKIUE6,SAXC260794LO0,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1880,2152,5534,,8,EXT18,CARLOS,TORRES,LARREA,MASCULINO,SOLTERO,26/04/1998,248.93,,,,,,TOLC260498HDFYTSA4,TOLC260498JU8,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
1861,2148,5534,,8,EXT19,ANDREA,MARMOLEJO,   ,FEMENINO,SOLTERO,17/10/2000,248.93,,,,,,MAXA171000MDFKIEF6,MAXA171000LO9,,,20/12/2006,,100% ESQUEMA,INDETERMINADO,,,,,,,,,,,,,,,,,,
